State,Local Hospital Network (LHN),Hospital Name,Granularity,Sector,Number of bed (Actual),Number of clincial staff,Status,Notes
,,NARRANDERA HOSPITAL,Facility,PUBLIC,<50,,,
,,TEMORA HOSPITAL,Facility,PUBLIC,<50,,,
,,TOCUMWAL HOSPITAL,Facility,PUBLIC,<50,,,
,,TUMBARUMBA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,TUMUT HOSPITAL,Facility,PUBLIC,<50,,,
,,WAGGA WAGGA HOSPITAL,Facility,PUBLIC,200-500,,,
,,WYALONG HOSPITAL,Facility,PUBLIC,<50,,,
,,YOUNG HOSPITAL,Facility,PUBLIC,<50,,,
,Nepean Blue Mountains Local Health District,,LHN,PUBLIC,,5548,Qualified,
,,BLUE MOUNTAINS HOSPITAL,Facility,PUBLIC,50-99,,,
,,LITHGOW HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,NEPEAN HOSPITAL,Facility,PUBLIC,>500,,Discovery,
,,PORTLAND HOSPITAL,Facility,PUBLIC,<50,,,
,,SPRINGWOOD HOSPITAL,Facility,PUBLIC,<50,,,
,,HAWKESBURY HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,Wentworth Psychiatric Services,Facility,PUBLIC,,,,
,,"Tresillian Family Care Centre, Kingswood",Facility,PUBLIC,,,,
,Northern Sydney Local Health District,,LHN,PUBLIC,,9057,Untouched,
,,ADOLESCENT AND YOUNG ADULT HOSPICE (AYAH),Facility,PUBLIC,,,,
,,TRESILLIAN FAMILY CARE CENTRE - WILLOUGHBY,Facility,PUBLIC,,,Discovery,
,South Western Sydney Local Health District,,LHN,PUBLIC,,12959,Qualified,
,,BANKSTOWN LIDCOMBE HOSPITAL,Facility,PUBLIC,200-500,,,
,,FAIRFIELD HOSPITAL,Facility,PUBLIC,200-500,,,
,,KARITANE MOTHERCRAFT SOCIETY,Facility,PUBLIC,<50,,,
,,LIVERPOOL HOSPITAL,Facility,PUBLIC,>500,,Discovery,
,,BOWRAL HOSPITAL,Facility,PUBLIC,50-99,,,
,,CAMDEN HOSPITAL,Facility,PUBLIC,50-99,,Qualified,Awaiting procurement outcome
,,CAMPBELLTOWN HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,BRAESIDE HOSPITAL,Facility,PUBLIC,50-99,,,
,St Vincent's Health Australia,,LHN,PUBLIC,,0,Untouched,
,,ST JOSEPH'S HOSPITAL,Facility,PUBLIC,50-99,,,
,,ST VINCENT’S HOSPITAL [DARLINGHURST],Facility,PUBLIC,200-500,,Pilot,
,,ST VINCENTS PRIVATE HOSPITAL [LISMORE],Facility,PUBLIC,,,,
,,SACRED HEART HOSPICE,Facility,PUBLIC,50-99,,,
,Sydney Children's Hospitals Network,,LHN,PUBLIC,,5310,Untouched,
,,THE CHILDREN'S HOSPITAL AT WESTMEAD,Facility,PUBLIC,200-500,,,
,,SYDNEY CHILDREN'S HOSPITAL,Facility,PUBLIC,100-199,,,
,Western NSW Local Health District,,LHN,PUBLIC,,8674,Untouched,
,,BATHURST HEALTH SERVICE,Facility,PUBLIC,100-199,,Discovery,
,,BLAYNEY MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BOURKE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BREWARRINA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,CANOWINDRA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,COBAR HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,COLLARENEBRI MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,COOLAH MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,COONABARABRAN HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,BARADINE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,COONAMBLE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,GULARGAMBONE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,COWRA HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,DUNEDOO MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,EUGOWRA MULTIPURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,LACHLAN HEALTH SERVICE - FORBES,Facility,PUBLIC,<50,,Pilot,
,,GILGANDRA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,GOODOOGA HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,GRENFELL MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,GULGONG MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,Strong IMedX relationship
,,MOLONG HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,MUDGEE HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,NARROMINE HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,NYNGAN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,OBERON MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,ORANGE HEALTH SERVICE,Facility,PUBLIC,200-500,,Discovery,
,,LACHLAN HEALTH SERVICE - PARKES,Facility,PUBLIC,<50,,,
,,PEAK HILL MULTIPURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,RYLSTONE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Pilot,
,,TOTTENHAM MULTIPURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,TRANGIE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,TULLAMORE MULTI PURPOSE HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,WALGETT MULTIPURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,WARREN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,WELLINGTON HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,TRUNDLE MULTI PURPOSE HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,LOURDES HOSPITAL DUBBO,Facility,PUBLIC,<50,,,
,,LIGHTNING RIDGE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,CONDOBOLIN HEALTH SERVICE,Facility,PUBLIC,,,,
,,DUBBO HOSPITAL,Facility,PUBLIC,,,,
,Western Sydney Local Health District,,LHN,PUBLIC,,12266,Qualified,
,,AUBURN HOSPITAL,Facility,PUBLIC,100-199,,,
,,BLACKTOWN HOSPITAL,Facility,PUBLIC,200-500,,Discovery,Strong IMedX relationship
,,WESTMEAD HOSPITAL,Facility,PUBLIC,>500,,,
,,MOUNT DRUITT HOSPITAL,Facility,PUBLIC,100-199,,Pilot,
,,CUMBERLAND HOSPITAL,Facility,PUBLIC,200-500,,,
,Sydney Local Health District,,LHN,PUBLIC,,10883,Pilot,
,,BALMAIN HOSPITAL,Facility,PUBLIC,50-99,,,
,,CANTERBURY HOSPITAL,Facility,PUBLIC,100-199,,Qualified,
,,ROYAL PRINCE ALFRED HOSPITAL,Facility,PUBLIC,>500,,,
,,CONCORD HOSPITAL,Facility,PUBLIC,>500,,Qualified,
,,Tresillian Care Centres,Facility,PUBLIC,,,Discovery,
,,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,Facility,PUBLIC,,,Qualified,
,,Thomas Walker Hospital,Facility,PUBLIC,,,,
,,TRESILLIAN FAMILY CARE CENTRE - BELMORE,Facility,PUBLIC,,,Discovery,
,,ALBURY WODONGA HEALTH [ALBURY CAMPUS],Facility,PUBLIC,100-199,,Discovery,
,,ROYAL HOSPITAL FOR WOMEN,Facility,PUBLIC,100-199,,Discovery,
,,NSW Pathology,Facility,PUBLIC,,,,
,,NERINGAH HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,BATEMANS BAY HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,HORNSBY KU-RING-GAI HOSPITAL,Facility,PUBLIC,200-500,,,
,,PRINCE OF WALES HOSPITAL,Facility,PUBLIC,200-500,,Discovery,Strong IMedX relationship
,,SOUTH EAST REGIONAL HOSPITAL,Facility,PUBLIC,50-99,,,
,,ST GEORGE HOSPITAL NSW,Facility,PUBLIC,>500,,,
,,ROYAL NORTH SHORE HOSPITAL,Facility,PUBLIC,>500,,,
,,BOMBALA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BRAIDWOOD MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,RYDE HOSPITAL,Facility,PUBLIC,100-199,,,
,,SUTHERLAND HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,MONA VALE HOSPITAL,Facility,PUBLIC,100-199,,,
,,SYDNEY HOSPITAL / SYDNEY EYE HOSPITAL,Facility,PUBLIC,50-99,,Qualified,
,,COOMA HOSPITAL,Facility,PUBLIC,<50,,,
,,GREENWICH HOSPITAL,Facility,PUBLIC,<50,,Discovery,Strong IMedX relationship
,,CROOKWELL HOSPITAL,Facility,PUBLIC,<50,,,
,,GOWER WILSON MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,CALVARY HOSPITAL,Facility,PUBLIC,100-199,,Discovery,
,,ROYAL REHABILITATION HOSPITAL,Facility,PUBLIC,<50,,,
,,DELEGATE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,MACQUARIE HOSPITAL,Facility,PUBLIC,100-199,,,
,,GOULBURN HOSPITAL,Facility,PUBLIC,100-199,,Qualified,
,,WAR MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,Sydney Dental Hospital,Facility,PUBLIC,,,,
,,MORUYA HOSPITAL,Facility,PUBLIC,50-99,,,
,,Northern Beaches Hospital,Facility,PUBLIC,,,Qualified,
,,Coral Tree Family Centre,Facility,PUBLIC,,,,
,,PAMBULA HOSPITAL,Facility,PUBLIC,<50,,,
,,BALLINA HOSPITAL,Facility,PUBLIC,50-99,,,
,,QUEANBEYAN HOSPITAL,Facility,PUBLIC,50-99,,Qualified,
,,BONALBO HOSPITAL,Facility,PUBLIC,<50,,,
,,BOURKE STREET HEALTH SERVICE,Facility,PUBLIC,<50,,Pilot,
,,CASINO HOSPITAL,Facility,PUBLIC,<50,,,
,,YASS HOSPITAL,Facility,PUBLIC,<50,,,
,,GRAFTON BASE HOSPITAL,Facility,PUBLIC,50-99,,Pilot,
,,Kenmore Hospital,Facility,PUBLIC,,,,
,,KYOGLE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,LISMORE HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,RIVERLANDS DRUG AND ALCOHOL CENTRE,Facility,PUBLIC,200-500,,,
,,MACLEAN HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,NIMBIN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,MURWILLUMBAH HOSPITAL,Facility,PUBLIC,50-99,,Contracting,
,,THE TWEED HOSPITAL,Facility,PUBLIC,200-500,,,
,,BYRON CENTRAL HOSPITAL,Facility,PUBLIC,<50,,Qualified,Awaiting procurement outcome
,,Urbenville Multi Purpose Service,Facility,PUBLIC,,,Discovery,
,,TRESILLIAN FAMILY CARE CENTRE - WOLLSTONECRAFT,Facility,PUBLIC,,,,
NT,,,State,PUBLIC,,2801.5,,
,Central Australia (NT),,LHN,PUBLIC,,,Untouched,
,,ALICE SPRINGS HOSPITAL,Facility,PUBLIC,100-199,,,
,,TENNANT CREEK HOSPITAL,Facility,PUBLIC,<50,,,
,Top End (NT),,LHN,PUBLIC,,,Untouched,
,,KATHERINE HOSPITAL,Facility,PUBLIC,50-99,,Untouched,
,,GOVE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,ROYAL DARWIN HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,PALMERSTON REGIONAL HOSPITAL,Facility,PUBLIC,,,Untouched,
QLD,,,State,PUBLIC,,55597.38,,
,Metro North Hospital and Health Service,,LHN,PUBLIC,,12579.39,Pilot,
,,ROYAL BRISBANE & WOMEN'S HOSPITAL,Facility,PUBLIC,>500,,Qualified,
,,REDCLIFFE HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,THE PRINCE CHARLES HOSPITAL,Facility,PUBLIC,>500,,Qualified,
,,KILCOY HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,CABOOLTURE HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,SURGICAL TREATMENT AND REHABILITATION SERVICE (STARS),Facility,PUBLIC,,,Untouched,
,Cairns and Hinterland Hospital and Health Service,,LHN,PUBLIC,,3921.52,Qualified,
,,ATHERTON HOSPITAL,Facility,PUBLIC,50-99,,,
,,BABINDA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,CAIRNS HOSPITAL,Facility,PUBLIC,>500,,Discovery,
,,GORDONVALE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,HERBERTON HOSPITAL,Facility,PUBLIC,<50,,,
,,INNISFAIL HOSPITAL,Facility,PUBLIC,<50,,,
,,MAREEBA HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,MOSSMAN HOSPITAL,Facility,PUBLIC,<50,,,
,,TULLY HOSPITAL,Facility,PUBLIC,<50,,,
,Central Queensland Hospital and Health Service,,LHN,PUBLIC,,1875.49,Qualified,
,,BARALABA HOSPITAL,Facility,PUBLIC,<50,,,
,,BILOELA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,EMERALD HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,GLADSTONE HOSPITAL,Facility,PUBLIC,50-99,,,
,,MOUNT MORGAN HOSPITAL,Facility,PUBLIC,<50,,,
,,ROCKHAMPTON HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,SPRINGSURE HOSPITAL,Facility,PUBLIC,<50,,,
,,THEODORE HOSPITAL,Facility,PUBLIC,<50,,,
,,WOORABINDA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,CAPRICORN COAST HOSPITAL,Facility,PUBLIC,<50,,,
,,MOURA HOSPITAL,Facility,PUBLIC,<50,,,
,,BLACKWATER HOSPITAL,Facility,PUBLIC,<50,,,
,Central West Hospital and Health Service,,LHN,PUBLIC,,164,Untouched,
,,ALPHA HOSPITAL,Facility,PUBLIC,<50,,,
,,BARCALDINE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,BLACKALL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,LONGREACH HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,WINTON HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,Darling Downs Hospital and Health Service,,LHN,PUBLIC,,3032.6,Qualified,
,,CHERBOURG HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,CHINCHILLA HOSPITAL,Facility,PUBLIC,<50,,Pilot,
,,DALBY HOSPITAL,Facility,PUBLIC,<50,,,
,,GOONDIWINDI HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,INGLEWOOD HOSPITAL,Facility,PUBLIC,<50,,,
,,JANDOWAE HOSPITAL,Facility,PUBLIC,<50,,Pilot,
,,KINGAROY HOSPITAL,Facility,PUBLIC,<50,,,
,,MILES HOSPITAL,Facility,PUBLIC,<50,,,
,,MILLMERRAN HOSPITAL,Facility,PUBLIC,<50,,,
,,MURGON HOSPITAL,Facility,PUBLIC,<50,,,
,,NANANGO HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,OAKEY HOSPITAL,Facility,PUBLIC,<50,,,
,,STANTHORPE HOSPITAL,Facility,PUBLIC,<50,,Pilot,
,,TARA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,TAROOM HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,TEXAS HOSPITAL,Facility,PUBLIC,<50,,Pilot,
,,TOOWOOMBA HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,WARWICK HOSPITAL,Facility,PUBLIC,50-99,,,
,,WONDAI HOSPITAL,Facility,PUBLIC,<50,,,
,,Baillie Henderson Hospital,Facility,PUBLIC,,,Discovery,"Lots of interest, CTO block"
,Gold Coast Hospital and Health Service,,LHN,PUBLIC,,5365.75,Qualified,
,,Gold Coast Hospital and Health Service University Hospital,Facility,PUBLIC,,,,
,,ROBINA HOSPITAL,Facility,PUBLIC,200-500,,,
,Mackay Hospital and Health Service,,LHN,PUBLIC,,1725.37,Untouched,
,,BOWEN HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,COLLINSVILLE HOSPITAL,Facility,PUBLIC,<50,,Discovery,Strong IMedX relationship
,,Mackay Hospital and Health Service Base Hospital,Facility,PUBLIC,,,Untouched,
,,PROSERPINE HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,SARINA HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MORANBAH HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,DYSART HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,Clermont Hospital,Facility,PUBLIC,,,Untouched,
,,CLERMONT MULTI-PURPOSE HEALTH SERVICE,Facility,PUBLIC,,,Untouched,
,,MACKAY BASE HOSPITAL,Facility,PUBLIC,200-500,,,
,Metro South Hospital and Health Service,,LHN,PUBLIC,,10484.69,Pilot,
,,BEAUDESERT HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,PRINCESS ALEXANDRA HOSPITAL,Facility,PUBLIC,>500,,Pilot,
,,LOGAN HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,QUEEN ELIZABETH II JUBILEE HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,REDLAND HOSPITAL,Facility,PUBLIC,100-199,,Discovery,
,,MATER ADULT HOSPITAL,Facility,PUBLIC,200-500,,Pilot,
,Children's Health Queensland,,LHN,PUBLIC,,2802.12,Roll-out,
,,QUEENSLAND CHILDREN’S HOSPITAL,Facility,PUBLIC,200-500,,,
,,Ellen Barron Family Centre,Facility,PUBLIC,,,Discovery,
,North West Hospital and Health Service,,LHN,PUBLIC,,465.46,Untouched,
,,DOOMADGEE HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,CLONCURRY HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,JULIA CREEK HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MOUNT ISA BASE HOSPITAL,Facility,PUBLIC,50-99,,Untouched,
,,NORMANTON HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MORNINGTON ISLAND HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,Not applicable,,LHN,PUBLIC,,,Untouched,
,,MATER MOTHERS' HOSPITAL,Facility,PUBLIC,100-199,,Discovery,
,Sunshine Coast Hospital and Health Service,,LHN,PUBLIC,,4873.35,Pilot,
,,MALENY HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,NAMBOUR GENERAL HOSPITAL,Facility,PUBLIC,100-199,,Qualified,
,,CALOUNDRA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,Sunshine Coast Hospital and Health Service University Hospital,Facility,PUBLIC,,,Pilot,
,,Gympie Hospital,Facility,PUBLIC,,,Discovery,
